dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
g,omp,1,dynamic,NA,NA,3,3,333373.975493,112.359,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,4,3,333373.975493,111.041,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,5,3,333373.975493,112.244,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,0,NA,NA,NA,112.244,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,1,3,333373.975493,161.222,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,2,3,333373.975493,174.726,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,3,3,333373.975493,167.735,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,4,3,333373.975493,166.955,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,5,3,333373.975493,166.062,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,0,NA,NA,NA,166.955,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,1,3,333373.975493,149.112,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,2,3,333373.975493,153.452,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,3,3,333373.975493,140.405,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,4,3,333373.975493,143.518,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,5,3,333373.975493,152.240,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,0,NA,NA,NA,149.112,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,1,3,333373.975493,129.322,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,2,3,333373.975493,146.673,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,3,3,333373.975493,145.454,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,4,3,333373.975493,143.170,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,5,3,333373.975493,141.436,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,0,NA,NA,NA,143.170,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,1,3,333373.975493,105.548,NA,NA,NA,NA,NA
